geography_code,variable,synth_fraction,constraint_fraction
d2,location_urban,0,0
d2,location_rural,1,1
d2,hh_size1,0.22151898734177214,0.22082018927444794
d2,hh_size2,0.680379746835443,0.6813880126182965
d2,hh_size3,0.00949367088607595,0.00946372239747634
d2,hh_size4,0.08860759493670886,0.08832807570977919
d2,m_0_to_30,0.01303538175046555,0.012987012987012988
d2,f_0_to_30,0.0148975791433892,0.014842300556586271
d2,m_30_to_60,0.3426443202979516,0.3450834879406308
d2,f_30_to_60,0.2942271880819367,0.29313543599257885
d2,m_gt_60,0.16387337057728119,0.16326530612244897
d2,f_gt_60,0.1713221601489758,0.17068645640074212
d2,edu_non,0.1191806331471136,0.11873840445269017
d2,edu_low,0.5400372439478585,0.5398886827458256
d2,edu_middle,0.3165735567970205,0.3172541743970315
d2,edu_high,0.024208566108007448,0.02411873840445269
d1,location_urban,1,1
d1,location_rural,0,0
d1,hh_size1,0.28125,0.28027681660899656
d1,hh_size2,0.6041666666666666,0.5986159169550173
d1,hh_size3,0.017361111111111112,0.01730103806228374
d1,hh_size4,0.09722222222222222,0.10380622837370242
d1,m_0_to_30,0.11864406779661017,0.11864406779661017
d1,f_0_to_30,0.1292372881355932,0.1292372881355932
d1,m_30_to_60,0.3283898305084746,0.3283898305084746
d1,f_30_to_60,0.336864406779661,0.336864406779661
d1,m_gt_60,0.0423728813559322,0.0423728813559322
d1,f_gt_60,0.04449152542372881,0.04449152542372881
d1,edu_non,0.07415254237288135,0.07415254237288135
d1,edu_low,0.2711864406779661,0.2711864406779661
d1,edu_middle,0.5635593220338984,0.5635593220338984
d1,edu_high,0.09110169491525423,0.09110169491525423
d4,location_urban,1,1
d4,location_rural,0,0
d4,hh_size1,0.27208480565371024,0.2711267605633803
d4,hh_size2,0.6643109540636042,0.6619718309859155
d4,hh_size3,0.0176678445229682,0.017605633802816902
d4,hh_size4,0.045936395759717315,0.04929577464788732
d4,m_0_to_30,0.02702702702702703,0.026970954356846474
d4,f_0_to_30,0.02494802494802495,0.024896265560165973
d4,m_30_to_60,0.3471933471933472,0.34647302904564314
d4,f_30_to_60,0.3575883575883576,0.35892116182572614
d4,m_gt_60,0.13097713097713098,0.13070539419087138
d4,f_gt_60,0.11226611226611227,0.11203319502074689
d4,edu_non,0.09147609147609148,0.0912863070539419
d4,edu_low,0.3908523908523909,0.3900414937759336
d4,edu_middle,0.47401247401247404,0.475103734439834
d4,edu_high,0.04365904365904366,0.043568464730290454
d7,location_urban,0,0
d7,location_rural,1,1
d7,hh_size1,0.23202614379084968,0.23127035830618892
d7,hh_size2,0.6176470588235294,0.6188925081433225
d7,hh_size3,0.016339869281045753,0.016286644951140065
d7,hh_size4,0.13398692810457516,0.13355048859934854
d7,m_0_to_30,0.02574257425742574,0.02564102564102564
d7,f_0_to_30,0.02178217821782178,0.021696252465483234
d7,m_30_to_60,0.3069306930693069,0.3076923076923077
d7,f_30_to_60,0.31683168316831684,0.3175542406311637
d7,m_gt_60,0.201980198019802,0.20118343195266272
d7,f_gt_60,0.12673267326732673,0.126232741617357
d7,edu_non,0.10693069306930693,0.10650887573964497
d7,edu_low,0.5405940594059406,0.5404339250493096
d7,edu_middle,0.3207920792079208,0.3214990138067061
d7,edu_high,0.031683168316831684,0.03155818540433925
d10,location_urban,0,0
d10,location_rural,1,1
d10,hh_size1,0.2662337662337662,0.26537216828478966
d10,hh_size2,0.6396103896103896,0.6375404530744336
d10,hh_size3,0.016233766233766232,0.016181229773462782
d10,hh_size4,0.07792207792207792,0.08090614886731391
d10,m_0_to_30,0.015533980582524271,0.015503875968992248
d10,f_0_to_30,0.027184466019417475,0.027131782945736434
d10,m_30_to_60,0.29514563106796116,0.29457364341085274
d10,f_30_to_60,0.341747572815534,0.3430232558139535
d10,m_gt_60,0.14757281553398058,0.14728682170542637
d10,f_gt_60,0.17281553398058253,0.17248062015503876
d10,edu_non,0.11067961165048544,0.11046511627906977
d10,edu_low,0.5145631067961165,0.5155038759689923
d10,edu_middle,0.3533980582524272,0.35271317829457366
d10,edu_high,0.021359223300970873,0.02131782945736434
d5,location_urban,1,1
d5,location_rural,0,0
d5,hh_size1,0.2610294117647059,0.2591240875912409
d5,hh_size2,0.6654411764705882,0.6605839416058394
d5,hh_size3,0.014705882352941176,0.014598540145985401
d5,hh_size4,0.058823529411764705,0.06569343065693431
d5,m_0_to_30,0.03036876355748373,0.03023758099352052
d5,f_0_to_30,0.015184381778741865,0.01511879049676026
d5,m_30_to_60,0.3383947939262473,0.3390928725701944
